data,lançamento,coluna_sem_nome_3,valor,data_2,valor_ext,nome_arquivo,data_base
02/08/2024,Aws Brazil,,19.15,credito_2024_08.xls,01/08/2024
05/08/2024,Amazonprimebr,,19.9,credito_2024_08.xls,01/08/2024
12/07/2024,Scribd *589796495,,30.06,credito_2024_08.xls,01/08/2024
24/08/2024,Dm*spotify,,21.9,credito_2024_09.xls,01/09/2024
09/03/2024,Localiza          06/06,,42.8,credito_2024_09.xls,01/09/2024
13/03/2024,Aluguel Localiza  06/06,,200.74,credito_2024_09.xls,01/09/2024
13/03/2024,Unidas Locadora Sa06/09,,102.34,credito_2024_09.xls,01/09/2024
10/08/2024,Dl*google Google,,38.99,credito_2024_09.xls,01/09/2024
14/08/2024,Iof Compra Internaciona,,1.28,credito_2024_09.xls,01/09/2024
16/08/2024,Netflix Entretenimento,,72.8,credito_2024_09.xls,01/09/2024
27/08/2024,Seg Cartao Protegido,,14.9,credito_2024_09.xls,01/09/2024
01/09/2024,Dl*google Cloud,,48.01,credito_2024_09.xls,01/09/2024
03/09/2024,Aws Brazil,,19.19,credito_2024_09.xls,01/09/2024
05/09/2024,Amazonprimebr,,19.9,credito_2024_09.xls,01/09/2024
12/08/2024,Scribd *589796495,,29.63,credito_2024_09.xls,01/09/2024
26/09/2024,Seg Cartao Protegido,,15.58,credito_2024_10.xls,01/10/2024
25/09/2024,Ebn*spotify,,21.9,credito_2024_10.xls,01/10/2024
05/10/2024,The Walt Disney Company,,43.9,credito_2024_10.xls,01/10/2024
06/10/2024,Google Cloud Vk4lrt,,45.5,credito_2024_10.xls,01/10/2024
06/10/2024,Aws Brazil,,19.14,credito_2024_10.xls,01/10/2024
13/03/2024,Unidas Locadora Sa07/09,,102.34,credito_2024_10.xls,01/10/2024
10/09/2024,Dl*google Google,,38.99,credito_2024_10.xls,01/10/2024
11/09/2024,Edz,,997.0,credito_2024_10.xls,01/10/2024
11/09/2024,Edz,,997.0,credito_2024_10.xls,01/10/2024
13/09/2024,Edz,,-997.0,credito_2024_10.xls,01/10/2024
14/09/2024,Iof Compra Internaciona,,1.32,credito_2024_10.xls,01/10/2024
21/09/2024,Localiza Rac Agmtz01/06,,54.86,credito_2024_10.xls,01/10/2024
22/09/2024,Localiza Rac Agmtz0,,29.12,credito_2024_10.xls,01/10/2024
12/09/2024,Scribd *589796495,,29.84,credito_2024_10.xls,01/10/2024
18/10/2024,Dl*google Google,,38.99,credito_2024_11.xls,01/11/2024
24/10/2024,Ebn         *spotify,,21.9,credito_2024_11.xls,01/11/2024
27/10/2024,Jusbrasil,,1.9,credito_2024_11.xls,01/11/2024
01/11/2024,Google Cloud 3jhlhx,,46.3,credito_2024_11.xls,01/11/2024
05/11/2024,The Walt Disney Company,,43.9,credito_2024_11.xls,01/11/2024
24/10/2024,Seg Cartao Protegido,,15.58,credito_2024_11.xls,01/11/2024
04/11/2024,Edz,,-997.0,credito_2024_11.xls,01/11/2024
13/03/2024,Unidas Locadora Sa08/09,,102.34,credito_2024_11.xls,01/11/2024
21/09/2024,Localiza Rac Agmtz02/06,,54.86,credito_2024_11.xls,01/11/2024
21/09/2024,Localiza Rac Agmtz0,,-0.1,credito_2024_11.xls,01/11/2024
10/11/2024,Dl*google Google,,38.99,credito_2024_12.xls,01/12/2024
24/11/2024,Ebn*spotify,,21.9,credito_2024_12.xls,01/12/2024
25/11/2024,Jusbrasil,,29.78,credito_2024_12.xls,01/12/2024
01/12/2024,Dl*google Cloud,,47.03,credito_2024_12.xls,01/12/2024
02/12/2024,Netflix.com,,20.9,credito_2024_12.xls,01/12/2024
05/12/2024,The Walt Disney Company,,43.9,credito_2024_12.xls,01/12/2024
26/11/2024,Seg Cartao Protegido,,15.58,credito_2024_12.xls,01/12/2024
13/03/2024,Unidas Locadora Sa09/09,,102.34,credito_2024_12.xls,01/12/2024
11/09/2024,Edz,,997.0,credito_2024_12.xls,01/12/2024
21/09/2024,Localiza Rac Agmtz03/06,,54.86,credito_2024_12.xls,01/12/2024
