dt_credito,descricao,valor_credito,data_base
2026-02-12,ESPACO SUSAN PIERSAO PAULOBR,303.0,2026-09-01
2025-11-28,KIWIFY*PreparacaoUruguaianaBR,30.71,2026-09-01
2026-02-12,ESPACO SUSAN PIERSAO PAULOBR,303.0,2026-10-01
2025-11-28,KIWIFY*PreparacaoUruguaianaBR,30.71,2026-10-01
2026-02-12,ESPACO SUSAN PIERSAO PAULOBR,303.0,2026-11-01
2025-11-28,KIWIFY*PreparacaoUruguaianaBR,30.71,2026-11-01
2026-02-12,ESPACO SUSAN PIERSAO PAULOBR,303.0,2026-12-01
2026-02-07,Controle de saldo,0.0,2026-01-01
2026-01-09,LOCALIZA RENT A CA01/10,500.0,2026-01-01
2026-02-11,REDE CONFIANCASAO PAULOBRA,50.0,2026-02-01
2026-02-11,Propig *MELO 2 COMERCIsao PauloBRA,178.0,2026-02-01
2026-02-11,NSA I POSTO DE ABASTECSAO PAULOBRA,89.26,2026-02-01
2026-01-25,REDE CONFIAN-CT        SAO PAULO     BRA,50.0,2026-02-01
2026-01-22,REDE CONFIAN-CT        SAO PAULO     BRA,100.0,2026-02-01
2026-01-20,REDE CONFIAN-CT        SAO PAULO     BRA,100.0,2026-02-01
2026-01-20,PAGAMENTO EFETUADO,-500.0,2026-02-01
2026-01-13,PUNTO  *AUTO POSTO CE  SAO PAULO     BRA,221.53,2026-02-01
2026-01-09,LOCALIZA RENT A CA02/10SAO PAULO     BRA,500.0,2026-02-01
2026-03-07,ABASTEC*abastece aiSao PauloBRA,100.0,2026-03-01
2026-03-04,ABASTEC*abastece aiSao PauloBRA,100.0,2026-03-01
2026-02-28,Google YouTubeSAO PAULOBRA,14.9,2026-03-01
2026-02-22,abastec*abastece aiSao PauloBRA,207.73,2026-03-01
2026-02-21,PapaleguaSAO PAULOBRA,50.0,2026-03-01
2026-02-20,PAGAMENTO DEBITO AUTOMATICO,-1288.79,2026-03-01
2026-02-19,POSTO DE SERV DIESELMASAO PAULOBRA,100.0,2026-03-01
2026-02-17,POSTO SAO JOAQUIMGUARULHOSBRA,50.0,2026-03-01
2026-02-16,ABASTEC*abastece aiSao PauloBRA,100.0,2026-03-01
2026-02-15,ABASTEC*abastece aiSao PauloBRA,100.0,2026-03-01
2026-02-13,ABASTEC*abastece aiSao PauloBRA,100.0,2026-03-01
2026-02-11,Propig *MELO 2 COMERCIsao PauloBRA,178.0,2026-03-01
2026-01-09,LOCALIZA RENT A CAR -V SAO PAULO     BRA,500.0,2026-03-01
2026-02-11,Propig *MELO 2 COMERCIsao PauloBRA,178.0,2026-04-01
2026-01-09,LOCALIZA RENT A CAR -V SAO PAULO     BRA,500.0,2026-04-01
2026-02-11,Propig *MELO 2 COMERCIsao PauloBRA,178.0,2026-05-01
2026-01-09,LOCALIZA RENT A CAR -V SAO PAULO     BRA,500.0,2026-05-01
2026-02-11,Propig *MELO 2 COMERCIsao PauloBRA,178.0,2026-06-01
2026-01-09,LOCALIZA RENT A CAR -V SAO PAULO     BRA,500.0,2026-06-01
2026-01-09,LOCALIZA RENT A CAR -V SAO PAULO     BRA,500.0,2026-07-01
2026-01-09,LOCALIZA RENT A CAR -V SAO PAULO     BRA,500.0,2026-08-01
2026-01-09,LOCALIZA RENT A CAR -V SAO PAULO     BRA,500.0,2026-09-01
2026-01-09,LOCALIZA RENT A CAR -V SAO PAULO     BRA,500.0,2026-10-01
2026-01-09,LOCALIZA RENT A CAR -V SAO PAULO     BRA,500.0,2026-11-01
2026-01-09,LOCALIZA RENT A CAR -V SAO PAULO     BRA,500.0,2026-12-01
