"data";"lançamento";"";"valor";"nome_arquivo";"data_base"
"15/10/2025";"UNIDAS LOCADORA SPSTSAO PAULOBR";"";"170.33";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"04/09/2025";"HOTMART AIPROEXPBELO HORIZONTBR";"";"154.91";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"12/02/2026";"ESPACO SUSAN PIERSAO PAULOBR";"";"303";"credito_uniclass_signature_2026_05.csv";"01/05/2026"
"29/12/2025";"Turbi FechamentoSao PauloBR";"";"103.8";"credito_uniclass_signature_2026_05.csv";"01/05/2026"
"27/12/2025";"TurbiSao PauloBR";"";"111.01";"credito_uniclass_signature_2026_05.csv";"01/05/2026"
"24/12/2025";"HNA*OBOTICARIOGUARULHOSBR";"";"58.36";"credito_uniclass_signature_2026_05.csv";"01/05/2026"
"24/12/2025";"CENTAURO CE187GUARULHOSBR";"";"59.99";"credito_uniclass_signature_2026_05.csv";"01/05/2026"
"22/12/2025";"TurbiSao PauloBR";"";"187.02";"credito_uniclass_signature_2026_05.csv";"01/05/2026"
"28/11/2025";"KIWIFY*PreparacaoUruguaianaBR";"";"30.71";"credito_uniclass_signature_2026_05.csv";"01/05/2026"
"15/10/2025";"UNIDAS LOCADORA SPSTSAO PAULOBR";"";"170.33";"credito_uniclass_signature_2026_05.csv";"01/05/2026"
"04/09/2025";"HOTMART AIPROEXPBELO HORIZONTBR";"";"154.91";"credito_uniclass_signature_2026_05.csv";"01/05/2026"
"12/02/2026";"ESPACO SUSAN PIERSAO PAULOBR";"";"303";"credito_uniclass_signature_2026_06.csv";"01/06/2026"
"29/12/2025";"Turbi FechamentoSao PauloBR";"";"103.8";"credito_uniclass_signature_2026_06.csv";"01/06/2026"
"27/12/2025";"TurbiSao PauloBR";"";"111.01";"credito_uniclass_signature_2026_06.csv";"01/06/2026"
"24/12/2025";"HNA*OBOTICARIOGUARULHOSBR";"";"58.36";"credito_uniclass_signature_2026_06.csv";"01/06/2026"
"22/12/2025";"TurbiSao PauloBR";"";"187.02";"credito_uniclass_signature_2026_06.csv";"01/06/2026"
"28/11/2025";"KIWIFY*PreparacaoUruguaianaBR";"";"30.71";"credito_uniclass_signature_2026_06.csv";"01/06/2026"
"15/10/2025";"UNIDAS LOCADORA SPSTSAO PAULOBR";"";"170.33";"credito_uniclass_signature_2026_06.csv";"01/06/2026"
"04/09/2025";"HOTMART AIPROEXPBELO HORIZONTBR";"";"154.91";"credito_uniclass_signature_2026_06.csv";"01/06/2026"
"12/02/2026";"ESPACO SUSAN PIERSAO PAULOBR";"";"303";"credito_uniclass_signature_2026_07.csv";"01/07/2026"
"28/11/2025";"KIWIFY*PreparacaoUruguaianaBR";"";"30.71";"credito_uniclass_signature_2026_07.csv";"01/07/2026"
"15/10/2025";"UNIDAS LOCADORA SPSTSAO PAULOBR";"";"170.33";"credito_uniclass_signature_2026_07.csv";"01/07/2026"
"04/09/2025";"HOTMART AIPROEXPBELO HORIZONTBR";"";"154.91";"credito_uniclass_signature_2026_07.csv";"01/07/2026"
"12/02/2026";"ESPACO SUSAN PIERSAO PAULOBR";"";"303";"credito_uniclass_signature_2026_08.csv";"01/08/2026"
"28/11/2025";"KIWIFY*PreparacaoUruguaianaBR";"";"30.71";"credito_uniclass_signature_2026_08.csv";"01/08/2026"
"15/10/2025";"UNIDAS LOCADORA SPSTSAO PAULOBR";"";"170.33";"credito_uniclass_signature_2026_08.csv";"01/08/2026"
"04/09/2025";"HOTMART AIPROEXPBELO HORIZONTBR";"";"154.91";"credito_uniclass_signature_2026_08.csv";"01/08/2026"
"12/02/2026";"ESPACO SUSAN PIERSAO PAULOBR";"";"303";"credito_uniclass_signature_2026_09.csv";"01/09/2026"
"28/11/2025";"KIWIFY*PreparacaoUruguaianaBR";"";"30.71";"credito_uniclass_signature_2026_09.csv";"01/09/2026"
"12/02/2026";"ESPACO SUSAN PIERSAO PAULOBR";"";"303";"credito_uniclass_signature_2026_10.csv";"01/10/2026"
"28/11/2025";"KIWIFY*PreparacaoUruguaianaBR";"";"30.71";"credito_uniclass_signature_2026_10.csv";"01/10/2026"
"12/02/2026";"ESPACO SUSAN PIERSAO PAULOBR";"";"303";"credito_uniclass_signature_2026_11.csv";"01/11/2026"
"12/02/2026";"ESPACO SUSAN PIERSAO PAULOBR";"";"303";"credito_uniclass_signature_2026_12.csv";"01/12/2026"
