"de_para";"valor"
"Lozano Zizza";"Lozano"
"Pag*balzarprime";"balzarprime"
"Academia Corpo E  03/03";"Academia"
"Academia Corpo E  01/03";"Academia"
"Academia Corpo E  02/03";"Academia"
"Pag*supertrocadeol01/03";"supertrocadeol01"
"Pag*supertrocadeol03/03";"supertrocadeol03"
"Parc=112dieta E Sa07/12";"Parc"
"Parc=112dieta E Sa08/12";"Parc"
"Parc=112dieta E Sa10/12";"Parc"
"Parc=112dieta E Sa04/12";"Parc"
"Parc=112dieta E Sa05/12";"Parc"
"Parc=112dieta E Sa06/12";"Parc"
"Americanas  *amer 01/03";"Americanas"
"Americanas  *amer 02/03";"Americanas"
"Americanas  *amer 03/03";"Americanas"
"Disney Plus";"Disney"
"Pag*mcamicado2";"mcamicado2"
"Armarinhos Fernando";"Armarinhos"
"Lojas Renner Fl 49";"Lojas"
"Pag*pgsalcultural 04/04";"pgsalcultural"
"Pag*pgsalcultural 01/04";"pgsalcultural"
"Pag*pgsalcultural 02/04";"pgsalcultural"
"Pag*pgsalcultural 03/04";"pgsalcultural"
"Kalunga Shopping T02/02";"Kalunga"
"Kalunga Shopping T01/02";"Kalunga"
"Delight";"Delight"
"Ri Happy Brinquedo03/03";"Ri"
"Ri Happy Brinquedo01/03";"Ri"
"Ri Happy Brinquedo02/03";"Ri"
"Pag*mcamicado2    02/02";"mcamicado2"
"Pag*mcamicado2    01/02";"mcamicado2"
"Ame Digital       03/04";"Ame"
"Ame Digital       01/04";"Ame"
"Ame Digital       02/04";"Ame"
"Dl*googlegoogles";"Dl"
"Pag*pgsalcultural  (03/04)";"pgsalcultural"
"Pag*pgsalcultural  (02/04)";"pgsalcultural"
"Pag*campeaofarma";"campeaofarma"
"Parc=112dieta E Sa11/12";"Parc"
"Tokiomarine*auto03d12";"Tokiomarine"
"INT  PAG TIT BANCO 383";"INT"
"TAR PACOTE ITAU AGO/22";"TAR"
"INT PAG TIT BANCO 383";"INT"
"TAR PACOTE ITAU OUT/22";"TAR"
"INT PAG TIT 109006482069";"INT"
"Decathlon Lar Cent02/03";"Decathlon"
"Max Fama Modeling 02/12";"Max"
"Biscoite Vl -ct Pia";"Biscoite"
"Loja Vic    -ct   01/02";"Loja"
"Mercadopago*bancanovomu";"Mercadopago"
"Gaguinho";"Gaguinho"
"Pag*niwsonyoshihide";"niwsonyoshihide"
"Brands            01/04";"Brands"
"Arena Novo M-ct";"Arena"
"Lj 3009 Centernorte Sp";"Lj"
"Pag*saboresdomilho";"saboresdomilho"
"Pag*franciscoestrelad";"franciscoestrelad"
"Santana";"Santana"
"Vent Vert Cn      01/06";"Vent"
"Hna*oboticario    01/04";"Hna"
"Roberto Vidal Card01/03";"Roberto"
"Mercadopago*-ct Coceara";"Mercadopago"
"Rotiserie La Rome 01/02";"Rotiserie"
"J A Rodrigues Bici01/02";"J"
"Decathlon Lar Cent03/03";"Decathlon"
"Loja Vic    -ct   02/02";"Loja"
