"de_para";"valor"
"ELECTRONRENATO GOME";"pessoa"
"ELECTRONPAG*Doceria";"consumo"
"PIX TRANSF  LUCIANO08/06";"futebol"
"PIX QRS ARENA FUTEB10/06";"futebol"
"PIX QRS Shopee12/06";"shopee"
"ELECTRONMP*ALEXFRUT";"feira"
"PIX TRANSF  JADIEL 10/06";"pessoa"
"ELECTRONPAG*CarlosD";"feira"
"PIX TRANSF  REAL BR13/06";"escola_futebol"
"SAQUE 24H 116870093";"saque"
"PIX TRANSF  LUCIANO14/06";"alimentacao"
"PIX TRANSF  IMW 3 R16/06";"igreja"
"ELECTRONPAG*Marinal";"pessoa"
"ELECTRONJOSE RUBIVA";"pessoa"
"ELECTRONDJM BAZAR L";"comercio"
"PIX QRS SHPP B I P 20/06";"pix web"
"PIX TRANSF  ROGERIO21/06";"pipoca"
"FINANC IMOBILIARIO   015";"financiamento"
"ELECTRONMAIK GUSHI";"pessoa"
"PIX TRANSF  IMW 3 R25/06";"igreja"
"PIX TRANSF  Matheus24/06";"alimentacao"
"ELECTRONGEORGE S TO";"pessoa"
"PIX TRANSF  LUCIANO24/06";"futebol"
"PIX QRS PORTOSEG SA27/06";"portoseguro"
"PIX TRANSF  erlonds27/06";"cabeleireiro"
"PIX TRANSF  LUCIANO27/06";"alimentacao"
"PIX TRANSF  Matheus01/07";"alimentacao"
"PIX TRANSF  IMW 3 R01/07";"igreja"
"ELECTRONMATRIZ";"lazer"
"ELECTRONBOX CAR";"comercio"
"ELECTRONGABRIELA PO";"pessoa"
"PIX TRANSF  NIRLEY 02/07";"futebol"
"TAR PACOTE ITAU   JUN/23";"banco"
"INT IPVA-SP HOH-6396";"multa"
"PIX QRS Drogaria Sa06/07";"farmacia"
"PIX TRANSF  Crisval06/07";"viagem"
"PIX TRANSF  IMW 3 R07/07";"igreja"
"ELECTRON001";"mercado"
"ELECTRONJULIO BUONO";"comercio"
"ELECTRONLUIZ ANTONI";"alimentacao-feijoada"
"PIX TRANSF  LUCIANO07/07";"futebol"
"PIX TRANSF  REAL BR07/07";"escola_futebol"
"ELECTRONLANCHONETE";"alimentacao"
"PIX TRANSF  Matheus08/07";"alimentacao"
"ELECTRONPAG*WmgEsta";"pessoa"
"ELECTRONOGGI SORVET";"alimentacao-sorvete"
"ELECTRONPAG*Arqueni";"pessoa"
"ELECTRONPAG*Antonio";"feira-banana"
"ELECTRONPAG*Claudio";"feira"
"ELECTRONOXXO NOVO M";"mercado"
"ELECTRONPLAYSIZE";"roupa"
"ELECTRONMISSLEINE M";"feira"
"PIX TRANSF  CLAUDIO08/07";"viagem"
"PIX TRANSF  Paola O11/07";"pessoa"
"PIX QRS AMERICANAS 12/07";"americanas"
"ELECTRONINTERNACION";"shopping"
"ELECTRONPERNAMBUCAN";"pernambucanas"
"ELECTRONNEO GEO FAM";"lazer"
"ELECTRONGUARULHOS S";"consumo"
"ELECTRONSILVIO NAKA";"pessoa"
"ELECTRONBANANA SPLI";"alimentacao"
"ELECTRONHOSP H9J VA";"alimentacao"
"ELECTRONSALGADO E A";"alimentacao"
"ELECTRONMAY BUSTANI";"comercio"
"PIX TRANSF  LUCIANO13/07";"alimentacao"
"PIX QRS PAGSMILE14/07";"investimento"
"ELECTRONREI DO OLEO";"carro"
"ELECTRONCHURRASCARI";"alimentacao"
"ELECTRONTALISMA CAS";"comercio"
"ELECTRONROZILAINE S";"feira"
"ELECTRONMCB COMERCI";"comercio"
"ELECTRONLEO COSMETI";"comercio"
"ELECTRONARIZONA PAE";"padaria"
"ELECTRONADM ABASTEC";"consumo"
